,Die Verurteilten,Der Pate,Dominion,Mosul,Der Pate 2,The Dark Knight,Schindlers Liste,Pulp Fiction,Berg II,Die zwölf Geschworenen,Der Herr der Ringe: Die Rückkehr des Königs,Inception,Forrest Gump,Zwei glorreiche Halunken,Der Herr der Ringe: Die Gefährten,Fight Club,Earthlings,Einer flog über das Kuckucksnest,Matrix,Der Herr der Ringe: Die zwei Türme,Parasite,Die sieben Samurai,Ist das Leben nicht schön?,Das Leben ist schön,Das Schweigen der Lämmer,Der Soldat James Ryan,Chihiros Reise ins Zauberland,City of God,The Green Mile,Für Sama,Interstellar,Joker,Die besten Jahre,Moderne Zeiten,Lichter der Großstadt,Gladiator,Léon: Der Profi,Whiplash,Ziemlich beste Freunde,Spiel mir das Lied vom Tod,Der König der Löwen,Prestige - Die Meister der Magie,Der Pianist,Avengers: Infinity War,Senna - Genie.Draufgänger.Legende,American History X,Das Salz der Erde,Zurück in die Zukunft,Der große Diktator,1917,Die letzten Glühwürmchen,Samsara,Ayla,Terminator 2: Tag der Abrechnung,Die Bucht,Django Unchained,Mrtav 'ladan,Lebe Deine Träume,Apocalypse Now,Kinder des Olymp,Boulevard der Dämmerung,Your Name.,Memento,Zeugin der Anklage,Oldboy,Der Mann mit der Kamera,Wege zum Ruhm,Es war einmal in Amerika,Prinzessin Mononoke,Das Leben der Anderen,Jäger des verlorenen Schatzes,The Dark Knight Rises,Baum der Wünsche,Die Reue,Das Fenster zum Hof,Shining,Alien: Das unheimliche Wesen aus einer fremden Welt,Lethal Strike,2001: Odyssee im Weltraum,Metropolis,Der Clou,Frau ohne Gewissen,Braveheart,Die Frau die singt - Incendies,Requiem for a Dream,Fahrraddiebe,Die Jagd,Uhrwerk Orange,Clockwork Orange,Die Verdammten,American Beauty,Amadeus,Vergiss mein nicht,Die fabelhafte Welt der Amelie,Kinder des Himmels,Full Metal Jacket,Mein Vater und mein Sohn,Inglourious Basterds,Toy Story 3,Nick Cave & The Bad Seeds,Das Appartement,Für ein paar Dollar mehr,Der unsichtbare Dritte,Komm und sieh',Wer die Nachtigall stört,Du sollst mein Glücksstern sein,Aliens: Die Rückkehr,Citizen Kane,Lawrence von Arabien,Wilde Erdbeeren,Manche mögen's heiß,Urteil von Nürnberg,V wie Vendetta,Asian Godfather - Die Gangs von Wasseypur I + II,L.A. Confidential,Article 15,Batman Begins,Die Reise nach Tokio,Gesprengte Ketten,Alles steht Kopf,Mein Nachbar Totoro,Oben,Casino,Bube Dame König grAS,Bei Anruf Mord,The Wolf of Wall Street,Apollo 11,Swades - Heimat,Alles über Eva,Reporter des Satans,Maschinenpistolen,Stirb langsam,Die Erbin,Der Schatz der Sierra Madre,Free Solo,Das siebente Siegel,Pans Labyrinth,Andrej Rubljow,The Band,Tangerines,Das wandelnde Schloss,Searching for Sugar Man,Erbarmungslos,Der Zirkus,Warrior,Sherlock Junior,Der 13.,Winterschlaf,There Will Be Blood,In ihren Augen,Der Untergang,Junge Rebellen,Goldrausch,Wie ein wilder Stier,A Silent Voice,Klaus,Chungking Express,Durch die Wand,Ben Hur,Stand by Me: Das Geheimnis eines Sommers,Citizenfour,Lohn der Angst,Fanny und Alexander,Virus,Opfer,The Big Lebowski,Der Killerwal,Die Melodie des Meeres,Marriage Story,Rush: Alles für den Sieg,The Help,Catch Me If You Can,Rampenlicht,Schlacht um Algier,Mommy,Spotlight,Der Elefantenmensch,Findet Nemo,Drachenzähmen leicht gemacht,Systemsprenger,Das Cabinet des Dr. Caligari,Kaufen für die Müllhalde,Super 30,Der Fuhrmann des Todes,Mad Max: Fury Road,Die Braut des Prinzen,Prisoners,Sixth Sense,Die Brücke am Kwai,Die Nacht,Wer den Wind sät,Nobody Knows,Es geschah in einer Nacht,Logan: The Wolverine,Die große Illusion,Raum,No Country for Old Men,Der Blade Runner,Blade Runner,Die Faust im Nacken,Million Dollar Baby,Gier nach Geld,Das Leben des Brian,Togo,Der Rest ist schweigen,Little Women,Die durch die Hölle gehen,Der letzte Mann,Nausicaä - Prinzessin aus dem Tal der Winde,Memories of Murder,Der unsichtbare Gast,Hotel Ruanda,Drei Farben - Rot,Amores perros,Shutter Island,Into the Wild,Baahubali,Gran Torino,12 Years a Slave,Reise ins Herz der Finsternis,Der dritte Mann,Love Exposure,Harry Potter und die Heiligtümer des Todes - Teil 2,Vom Winde verweht,Grand Budapest Hotel,Die Spielregel,The Gentlemen,Die rote Laterne,Rote Laterne,Jurassic Park,Sonnenaufgang,Das Verschwinden der Haruhi Suzumiya,Rebecca,Batman und Bill,Napoleon,Manderly,Der General,Stürme,Der Wind,Der Unbeugsame,Der Spiegel,Charles Dickens - Eine Weihnachtsgeschichte,Das Ding aus einer anderen Welt,Tomorrow,Brotherhood,Der König der Affen,Panik,Faust,Die Truman Show,Schildkröten können fliegen,Die Legende vom Ozeanpianisten,The Farthest,Man lebt nur einmal,Im Namen des Vaters,Der eiskalte Engel,The Raid 2,Die Rechnung ging nicht auf,Der Zauberer von Oz,Goldenes Gift,Sing Street,Das Comeback,Blood Diamond,Die Volksschule,Guardians of the Galaxy,Die Schöne und das Biest,Die kleinen Füchse,Die Teuflischen,Laura,Infernal Affairs,Vor dem Regen,Solange ein Herz schlägt,Ein Herz und eine Krone,La La Land
2018-10-08,1,30,16,41,0,20,46,41,0,0,5,41,1,0,5,32,32,0,68,4,60,0,0,4,28,0,33,45,39,0,3,16,38,0,0,5,0,23,2,3,13,0,35,18,21,23,32,5,41,82,36,36,41,0,34,20,0,0,62,0,0,0,45,0,80,95,0,0,48,16,48,16,0,0,38,42,0,0,15,44,29,0,17,50,25,73,8,32,25,0,35,82,38,65,0,23,0,42,0,0,0,0,1,44,59,0,0,1,49,0,0,0,15,73,81,0,45,0,43,52,63,80,47,0,32,21,18,0,91,0,0,8,0,0,45,0,56,0,44,0,25,0,44,56,11,0,35,34,26,100,31,0,16,46,0,72,0,64,25,0,16,0,0,64,70,45,0,0,0,0,9,3,0,0,73,54,0,16,8,0,0,0,32,0,1,19,17,7,0,24,0,25,0,46,0,84,30,0,63,0,21,0,7,35,82,72,0,0,0,0,44,34,33,0,21,19,28,34,1,0,14,0,0,31,15,0,32,0,70,31,52,0,41,0,26,0,88,27,48,0,71,0,38,27,46,83,72,71,29,0,0,0,84,0,0,29,0,4,0,0,42,0,0,32,16,0,0,57,48,0,0,41,56
2018-10-09,1,43,47,0,27,46,30,15,0,0,5,41,2,0,5,32,0,0,83,4,49,0,0,5,28,2,44,30,28,0,5,22,58,49,85,4,0,34,3,2,16,0,39,14,28,31,33,3,42,71,0,0,59,0,24,20,83,0,27,0,0,0,39,36,27,0,0,0,0,21,0,24,0,47,57,56,81,0,15,44,39,0,23,100,66,0,7,0,25,0,35,52,29,22,0,11,0,22,0,0,0,0,0,44,30,0,0,2,24,0,0,0,16,80,0,0,23,0,0,65,0,76,59,39,0,28,30,0,0,0,0,6,42,84,51,0,57,0,46,0,26,33,0,47,9,0,24,40,26,24,31,0,14,0,0,79,77,97,17,0,17,0,0,62,46,67,0,0,0,0,9,3,31,0,39,53,51,9,11,0,0,0,32,0,1,0,31,5,0,21,0,25,0,47,0,96,20,0,36,0,21,0,18,51,83,25,42,0,0,0,23,0,98,0,38,56,0,34,0,0,28,0,0,10,5,0,32,0,53,31,63,0,52,0,34,0,100,0,48,0,72,0,39,21,42,83,66,63,30,0,0,83,42,0,0,0,0,6,0,0,42,30,83,38,17,0,0,53,0,0,0,42,65
2018-10-10,1,33,39,41,0,19,33,20,0,0,8,39,2,35,0,29,43,29,67,0,49,0,0,4,22,0,44,0,17,0,5,14,0,0,0,4,0,38,1,2,16,0,27,13,23,24,33,4,42,39,0,31,51,0,25,41,0,0,0,0,0,73,72,0,0,0,0,4,25,16,0,32,0,47,77,51,81,0,15,42,30,0,29,0,25,74,12,0,19,0,30,70,19,67,0,19,0,51,0,0,49,6,0,44,30,0,0,2,50,0,77,0,24,74,0,89,35,0,0,53,32,73,51,0,65,21,0,0,0,0,0,5,0,0,40,0,86,0,46,0,26,0,0,19,8,0,36,26,27,24,42,0,11,47,37,75,0,60,0,0,0,33,0,60,66,22,0,0,0,0,11,3,0,0,51,49,0,5,8,52,0,0,0,0,1,0,31,10,0,23,46,26,0,0,0,87,20,45,24,0,0,0,7,56,0,25,0,0,0,0,20,0,0,0,87,28,0,21,0,83,19,0,0,32,8,0,33,0,54,38,64,0,39,0,28,0,39,33,49,49,55,0,0,25,64,84,59,66,0,0,84,0,0,0,61,0,0,3,0,0,43,0,0,31,15,0,0,52,48,0,0,42,22
2018-10-11,2,54,41,0,37,22,34,24,0,0,0,34,3,36,5,49,65,0,63,0,50,43,0,4,24,6,33,0,29,0,5,19,39,0,0,5,82,23,2,3,13,0,40,14,38,32,33,5,0,29,0,21,38,0,30,31,0,0,18,0,0,73,26,0,80,0,0,4,74,8,49,40,0,0,38,76,0,90,15,54,0,80,17,0,50,73,12,0,25,0,18,72,20,22,0,29,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,80,0,0,47,0,45,60,32,88,50,0,0,42,30,39,0,0,0,6,0,86,52,0,28,0,55,0,0,0,45,38,10,0,84,48,26,18,28,0,22,0,38,91,0,70,23,0,17,0,0,81,77,56,0,0,0,0,6,2,0,0,51,46,0,14,5,0,0,0,32,0,1,20,31,7,0,29,0,52,0,48,0,75,20,46,49,0,21,0,11,49,0,100,0,0,0,0,23,51,0,0,26,43,0,27,0,0,9,0,50,21,5,0,32,0,48,39,50,0,34,0,26,0,68,50,33,0,64,10,39,21,39,0,48,55,0,0,0,0,0,0,0,30,0,9,0,45,0,60,0,47,12,0,0,56,49,0,0,42,48
2018-10-12,3,49,28,44,30,12,32,52,0,0,0,31,4,38,0,93,35,21,64,4,44,0,0,6,15,2,24,65,37,0,5,22,83,0,0,5,0,49,2,5,17,0,47,14,18,26,35,4,0,35,0,17,36,0,47,51,0,0,19,0,0,0,56,0,72,0,0,4,44,12,0,34,0,0,83,52,0,0,17,47,0,0,31,0,54,0,10,0,41,46,19,64,42,24,0,25,0,30,26,94,53,0,0,0,0,0,0,0,27,0,0,0,17,71,0,0,25,0,48,63,35,61,64,0,0,30,29,0,0,0,0,5,90,0,43,0,31,0,51,0,42,36,0,31,28,0,77,72,29,19,26,0,14,0,40,81,0,60,18,0,0,0,89,73,50,24,0,0,0,0,7,3,34,0,73,49,0,8,9,0,0,0,35,0,1,0,44,5,0,22,100,83,0,75,0,81,36,49,44,0,23,0,8,88,0,27,0,0,0,0,25,37,53,37,28,31,31,51,1,0,10,0,0,23,11,0,35,0,48,42,64,0,69,0,30,0,48,27,22,0,67,0,42,23,50,0,44,54,0,0,0,90,46,0,65,0,0,3,0,0,46,0,0,42,21,0,97,67,0,0,0,0,56
2018-10-13,2,35,64,51,68,36,21,35,0,13,0,34,4,0,13,100,40,0,57,5,30,0,0,5,29,2,82,38,35,0,8,28,48,61,0,7,100,43,2,8,18,0,0,24,75,73,41,5,0,32,0,19,63,0,30,50,0,0,30,0,0,0,97,0,100,0,0,5,50,22,0,40,0,0,0,63,100,0,39,54,24,100,28,63,62,0,10,0,52,35,22,53,36,41,0,21,97,63,30,0,0,0,0,0,73,0,59,3,30,0,0,0,0,61,0,0,38,0,0,81,40,64,68,49,0,69,90,0,0,0,0,15,52,0,71,0,53,0,53,0,80,0,0,24,18,0,59,39,0,33,21,0,18,0,46,65,96,63,28,0,21,0,0,58,64,42,0,0,0,91,21,3,0,0,56,46,0,21,100,0,0,0,0,0,2,0,59,12,0,24,0,32,0,58,0,70,100,0,53,0,52,0,14,82,0,46,52,0,0,0,56,42,0,0,53,23,35,68,1,0,23,0,31,26,13,0,40,0,70,46,84,0,51,0,48,0,42,62,50,0,58,12,48,21,100,0,48,43,37,0,0,0,53,37,0,37,0,10,0,0,79,37,0,64,28,0,0,65,0,0,100,0,64
2018-10-14,1,43,53,0,46,37,50,26,0,12,6,38,4,39,9,79,36,0,64,5,37,0,0,9,16,7,37,51,19,0,5,23,44,0,0,6,91,34,3,2,20,0,30,26,39,44,37,6,47,65,41,35,57,0,50,45,0,0,20,67,91,0,44,0,30,0,14,4,27,20,55,54,0,0,65,72,0,0,26,39,22,0,38,0,42,0,9,36,33,32,30,50,44,25,0,30,0,28,27,0,55,0,0,0,67,0,54,2,0,88,0,0,18,66,0,0,26,0,0,44,0,74,59,0,0,47,34,0,0,100,0,10,0,0,64,0,32,0,54,0,29,0,50,43,13,0,20,52,30,41,19,0,18,0,63,66,0,52,28,0,19,0,0,57,63,59,40,50,0,0,4,5,35,0,32,39,0,12,48,0,0,0,36,0,2,0,42,9,0,31,0,29,0,79,0,82,22,50,58,0,24,0,12,60,0,28,47,0,0,0,0,38,37,0,63,42,0,46,2,0,32,0,0,29,9,100,36,0,50,40,67,0,47,0,40,0,28,37,41,0,78,11,87,22,86,0,33,63,100,0,0,0,48,100,0,99,0,6,0,50,0,34,92,60,26,0,0,60,55,0,0,47,63
2018-10-15,2,34,21,0,0,21,16,29,0,0,0,38,2,34,8,54,63,38,75,0,35,0,0,6,12,2,43,44,25,0,3,20,57,0,0,4,0,33,3,2,16,0,0,19,23,23,32,3,82,50,0,15,25,0,43,52,0,0,17,0,0,71,76,35,0,0,0,4,47,21,47,21,0,0,74,44,0,0,20,43,19,0,33,0,24,0,11,31,24,27,43,66,19,32,0,15,0,33,23,0,0,0,0,0,29,0,0,2,24,0,0,0,15,73,0,85,37,0,43,32,31,66,50,0,31,27,23,0,0,0,0,3,0,0,42,80,27,0,41,0,37,0,43,64,9,0,63,53,26,0,30,0,11,0,36,75,0,67,16,20,0,0,0,76,64,33,0,0,0,71,7,2,0,0,44,36,100,12,14,100,0,0,31,0,2,19,33,7,0,27,45,25,0,45,0,91,39,44,56,0,41,0,9,45,0,24,0,47,0,0,22,0,32,0,42,55,0,59,0,0,41,0,24,10,5,0,32,0,64,25,62,0,54,0,42,0,16,21,47,0,65,0,38,23,56,0,55,52,58,0,0,0,0,28,0,29,0,4,0,43,0,29,0,31,17,0,88,74,0,71,0,40,29
2018-10-16,1,40,46,0,54,24,29,28,0,0,0,28,2,0,0,61,0,0,79,4,24,0,0,3,9,2,64,0,17,0,3,20,51,0,0,4,0,37,2,2,16,0,52,14,32,23,32,3,0,75,0,30,53,0,24,20,0,0,26,58,0,0,26,0,26,0,12,4,24,10,0,36,0,0,56,68,0,0,15,40,19,0,28,0,40,0,15,32,25,28,17,72,19,43,0,34,0,33,23,0,47,0,0,43,68,0,0,1,24,0,75,0,15,79,0,0,37,0,43,38,63,69,55,0,0,14,35,0,0,0,0,2,0,0,39,0,28,0,45,0,38,32,44,31,8,0,35,34,26,0,37,0,9,0,48,72,0,31,16,0,0,0,40,78,52,29,17,0,71,71,7,2,30,0,44,56,0,15,7,0,0,0,0,0,1,0,33,5,0,20,0,33,0,45,0,90,20,0,47,0,31,0,0,80,81,24,0,0,0,0,15,100,32,0,25,32,0,33,2,0,14,0,0,10,10,0,32,76,49,22,65,0,65,0,50,0,24,24,39,0,58,0,0,20,58,0,60,75,29,0,0,0,41,29,59,0,0,4,0,0,42,58,81,27,13,0,0,64,0,0,0,41,34
2018-10-17,1,49,26,42,28,33,27,36,0,0,0,39,2,0,11,45,33,20,81,0,33,0,0,8,16,0,56,41,29,0,4,21,39,0,0,3,0,31,3,2,17,0,27,23,9,32,33,5,0,29,37,24,34,0,15,41,0,0,36,0,0,0,60,37,0,0,0,4,86,9,49,21,0,48,39,65,0,0,16,43,30,0,40,0,25,74,15,33,34,0,27,78,20,45,0,29,0,34,0,87,98,0,0,0,60,0,0,2,25,52,0,0,24,75,0,0,39,0,44,59,32,79,47,40,0,35,18,0,0,0,0,7,0,0,40,84,0,0,42,85,0,0,0,29,7,0,36,20,27,18,58,0,17,47,38,77,0,42,51,0,0,33,0,69,45,34,18,0,0,0,9,2,0,0,40,57,0,11,4,0,0,0,0,0,1,0,41,12,0,59,47,26,0,47,36,100,20,0,65,0,0,0,15,49,84,0,43,0,0,0,21,34,50,35,26,72,0,52,1,0,9,0,0,11,5,0,0,0,60,25,46,0,53,0,40,0,59,22,41,0,67,0,39,21,30,0,37,66,30,0,0,0,0,30,0,30,0,6,87,45,0,30,84,35,21,0,0,66,49,0,0,0,44
2018-10-18,1,36,37,42,28,54,23,20,0,11,0,39,2,0,16,38,0,20,74,0,61,43,0,3,19,4,56,46,43,0,5,19,79,49,0,4,0,39,2,2,20,0,0,10,24,24,33,4,42,29,37,16,38,0,15,20,0,0,18,60,0,0,59,0,27,0,0,0,37,11,0,56,0,0,0,46,0,0,16,46,39,0,29,0,25,0,15,0,25,0,18,64,19,22,0,46,79,45,0,0,49,0,0,0,60,0,0,0,0,0,0,86,24,71,0,0,39,0,0,53,65,68,57,39,0,0,18,0,0,0,0,7,0,0,35,0,29,0,53,84,26,0,45,64,9,0,36,52,0,0,49,100,11,0,75,82,0,56,34,0,0,0,0,71,70,38,18,0,0,0,7,3,32,0,74,38,52,6,9,0,0,0,32,0,1,0,41,7,0,30,47,51,0,47,0,94,30,45,40,0,21,0,11,60,84,49,0,49,0,0,15,46,0,0,43,43,0,41,1,0,13,0,0,42,5,0,33,0,51,31,45,0,52,0,33,0,39,42,33,0,60,0,39,19,86,0,57,64,0,0,0,0,43,0,0,0,0,3,0,0,0,0,0,41,17,0,0,63,0,0,0,0,53
2018-10-19,2,40,35,43,29,26,70,26,0,0,5,60,3,0,6,68,0,62,72,4,26,67,0,5,29,3,47,32,36,0,5,25,62,0,90,4,85,48,4,3,17,0,46,13,30,62,0,6,44,54,0,27,40,0,31,28,0,0,28,0,0,0,55,0,57,0,0,4,26,19,0,22,0,0,41,68,86,0,16,55,21,0,12,0,26,0,13,34,20,0,25,55,30,35,0,18,82,71,25,0,51,0,1,0,47,0,0,1,52,0,0,0,0,74,0,93,49,0,47,34,34,72,61,0,0,15,64,0,0,0,0,5,44,0,42,87,0,0,53,0,27,0,0,40,33,0,38,43,28,19,29,0,8,49,39,79,0,39,36,0,18,0,0,58,46,47,0,0,0,0,7,5,0,0,72,45,0,10,7,0,0,0,0,0,1,0,32,12,0,27,0,40,51,49,0,98,28,0,35,0,22,0,15,63,0,26,0,52,0,0,16,0,52,0,34,15,0,32,1,0,15,0,26,11,5,0,0,0,60,28,51,0,59,0,39,0,35,23,85,0,61,0,41,23,40,88,31,56,0,0,0,0,0,31,0,31,0,6,91,0,45,63,87,71,18,0,96,66,0,0,0,44,55
2018-10-20,4,55,53,74,66,54,52,30,0,0,0,65,2,0,6,45,39,0,59,7,44,0,0,7,22,2,40,0,51,100,8,33,47,0,0,6,96,55,2,3,25,100,32,19,65,28,0,3,50,35,0,28,51,0,26,73,0,52,43,71,0,0,71,0,32,0,15,5,29,6,58,38,0,0,46,61,0,0,18,63,47,0,14,0,60,0,15,58,30,0,43,60,62,35,0,28,94,67,57,0,0,0,1,53,36,0,0,0,49,0,0,0,19,57,0,0,56,0,0,47,0,79,61,47,0,17,32,0,0,0,0,7,0,0,48,0,34,0,50,100,31,80,53,38,20,0,64,45,0,22,45,0,10,0,45,57,93,67,20,0,20,0,0,49,54,45,0,71,0,0,10,5,0,0,68,53,62,19,12,0,0,0,39,0,2,0,53,6,0,41,55,61,0,0,43,84,24,0,44,0,25,0,13,64,0,30,51,59,0,78,61,61,40,41,57,42,34,66,2,0,22,0,0,13,6,0,39,0,64,53,74,0,100,0,40,0,40,40,97,0,54,0,47,26,97,0,49,70,0,0,100,100,51,0,72,36,0,3,0,0,51,36,99,64,22,0,0,66,0,0,0,0,88
2018-10-21,3,57,45,47,47,40,45,23,0,24,6,35,3,39,12,44,37,0,53,5,28,0,0,9,21,2,75,34,48,0,6,29,44,55,0,5,90,51,3,2,25,0,50,31,100,53,37,5,47,65,41,18,47,0,17,61,94,49,30,0,0,82,37,0,30,0,0,6,55,20,0,42,0,0,44,85,0,0,0,61,22,0,19,57,56,83,9,36,66,48,20,78,44,75,0,35,0,25,27,0,55,0,0,49,34,0,0,2,28,0,0,48,18,71,93,0,52,0,0,44,0,88,58,0,0,0,20,0,0,0,0,9,0,95,58,0,32,0,49,0,29,0,50,71,14,0,47,71,0,20,70,0,23,0,0,68,0,26,47,0,19,0,0,68,56,38,0,50,0,83,8,5,35,0,83,40,0,16,16,0,0,0,36,0,1,0,85,5,0,37,53,57,0,53,0,89,22,50,65,0,0,0,17,40,0,28,47,55,0,0,29,0,75,0,63,24,0,46,2,0,11,0,56,24,6,0,0,88,64,56,65,0,67,0,43,0,44,28,45,0,70,16,88,23,67,0,46,83,0,0,0,0,64,33,68,0,0,5,0,50,0,34,0,39,21,0,0,61,0,82,0,78,68
2018-10-22,1,34,58,40,26,16,38,24,0,0,5,30,3,0,0,33,62,0,74,8,23,0,0,5,40,4,43,29,16,0,3,22,37,0,0,3,0,44,2,2,19,0,34,14,67,45,0,6,40,81,35,40,36,0,28,32,0,0,17,0,0,0,63,0,25,0,0,4,47,8,46,20,77,0,37,54,0,0,15,39,19,78,22,48,0,0,8,31,36,41,25,58,68,53,0,22,0,22,0,0,93,0,1,0,29,0,0,1,24,0,0,82,38,81,0,0,22,0,43,63,31,70,48,0,0,33,43,0,0,0,0,5,0,0,27,0,0,0,50,0,24,0,0,55,8,0,40,75,0,17,30,0,16,0,36,82,74,40,32,0,16,31,0,67,39,36,0,0,0,0,8,5,0,0,27,53,50,9,6,0,83,0,0,0,0,19,20,9,0,29,0,25,0,75,0,90,19,0,61,0,0,0,14,53,0,72,0,94,45,0,30,33,64,0,21,41,0,20,0,0,9,0,0,10,5,0,31,76,89,23,56,0,39,0,34,0,32,24,35,0,60,9,38,19,49,0,57,68,0,0,0,0,0,29,0,29,0,4,0,42,0,28,0,24,17,0,0,59,0,0,0,0,46
2018-10-23,1,39,42,59,26,21,19,26,0,0,0,30,3,0,7,27,0,0,88,12,39,0,0,4,21,0,32,39,25,0,5,24,37,47,0,3,0,22,2,1,22,80,25,11,38,45,31,3,40,31,0,15,40,0,23,29,0,42,17,0,0,0,44,0,0,0,0,7,35,18,0,30,76,0,55,57,0,0,15,39,19,0,16,0,24,0,9,93,28,0,17,52,28,53,0,17,0,48,23,0,0,0,0,0,29,84,0,1,23,50,0,41,45,73,0,0,22,0,0,38,31,75,53,0,62,27,29,37,0,0,0,5,0,0,27,0,54,0,37,0,25,0,43,36,8,0,51,64,51,0,10,0,14,0,36,70,0,40,27,0,16,0,0,63,57,21,0,0,0,70,8,3,30,0,70,39,0,8,9,49,0,0,0,0,2,0,24,5,0,25,0,25,0,45,0,83,58,0,57,0,20,0,12,53,0,24,40,47,0,62,15,0,95,33,29,32,27,39,2,80,18,0,0,25,7,0,31,0,68,26,48,0,35,0,24,0,24,32,50,0,75,0,74,30,61,0,61,62,0,0,0,0,0,28,0,0,0,3,83,0,0,0,0,29,18,0,0,64,0,0,0,40,33
2018-10-24,1,52,32,0,40,11,39,32,0,0,0,30,1,0,5,47,31,19,81,4,39,41,50,4,22,0,43,88,28,0,4,28,38,0,0,4,0,37,1,1,17,0,51,7,32,23,0,5,0,19,35,25,45,0,14,52,0,0,17,0,0,0,64,0,0,0,0,0,39,16,47,38,0,0,75,55,0,0,0,60,19,0,22,49,24,72,12,0,16,28,43,74,44,21,0,30,76,24,23,0,47,0,0,0,96,0,0,1,24,0,0,0,15,80,80,0,22,0,0,76,62,81,52,0,0,14,35,0,0,0,0,4,0,0,25,0,28,0,50,82,25,32,43,31,8,0,46,48,26,17,30,0,16,45,0,75,75,36,16,0,16,0,0,71,53,0,0,0,0,70,10,3,0,0,44,53,50,17,6,0,0,0,31,0,1,38,30,14,0,39,0,50,0,0,0,86,19,0,44,0,20,0,7,30,0,24,0,47,0,0,22,0,32,0,42,14,0,46,1,0,0,0,0,15,15,85,31,0,46,19,43,0,37,0,30,0,43,43,59,0,65,0,50,25,58,0,55,63,0,0,0,81,41,29,59,29,0,5,0,0,41,29,0,27,11,0,0,60,0,0,0,0,17
2018-10-25,1,23,58,83,0,22,37,35,0,0,5,39,1,35,5,36,48,19,86,4,41,0,0,4,19,0,66,30,46,0,3,25,0,0,0,4,80,34,3,2,17,0,40,14,51,24,33,7,42,32,37,26,29,0,25,34,0,0,18,59,0,0,33,37,27,0,0,0,32,20,0,16,0,0,39,70,0,0,15,48,0,0,34,0,0,0,19,0,21,0,41,83,29,37,0,19,0,25,0,0,0,0,0,0,40,0,0,1,24,0,0,0,31,77,83,0,58,0,89,46,32,67,59,0,0,56,27,0,0,0,77,3,0,0,57,82,57,0,47,84,26,33,0,32,7,0,36,63,53,0,26,0,71,0,37,73,0,28,84,0,17,0,0,62,43,22,0,0,0,0,6,3,0,0,85,61,0,12,11,0,0,0,0,0,1,0,31,8,0,27,0,39,0,47,0,88,20,0,27,0,0,0,18,44,0,25,0,0,0,0,15,0,33,0,30,33,0,27,1,0,19,78,0,32,5,0,32,0,71,21,52,0,42,0,39,0,39,28,57,48,51,0,0,30,51,0,39,76,30,0,0,0,42,29,0,40,0,4,0,0,0,30,0,31,17,0,0,56,48,73,0,0,30
2018-10-26,1,45,49,43,0,40,41,48,0,0,11,40,3,0,8,35,33,40,75,4,42,0,0,5,32,3,34,0,35,0,5,26,81,0,0,4,0,55,2,6,14,0,27,15,44,73,67,13,44,27,0,38,46,0,76,52,0,0,18,0,0,0,54,38,56,0,0,4,38,15,50,22,0,0,40,42,0,0,16,53,20,0,18,52,34,0,13,33,35,59,36,60,33,23,0,30,0,35,25,0,0,0,0,46,46,0,0,1,34,0,0,0,32,74,0,91,72,0,0,74,33,57,60,82,34,14,37,0,0,0,0,2,0,0,71,86,44,0,44,0,0,0,46,39,36,0,49,74,0,0,53,0,28,0,39,74,0,24,35,0,17,100,0,63,39,23,0,0,0,0,7,3,32,0,47,43,0,13,23,54,0,0,0,0,3,20,42,12,0,26,0,0,50,0,0,75,21,0,28,0,0,0,15,50,0,25,0,50,0,0,47,0,0,0,53,39,0,35,1,0,10,0,0,22,16,0,0,0,55,34,61,0,61,0,28,0,23,46,59,0,62,10,0,27,44,87,35,46,31,0,0,87,0,0,0,31,0,6,0,45,43,31,0,26,22,0,0,67,50,0,0,0,27
2018-10-27,2,63,43,49,48,35,43,47,0,12,6,88,2,41,6,44,38,45,69,10,29,0,0,7,11,2,78,35,33,0,8,40,91,58,0,5,0,54,3,2,19,0,31,22,47,37,0,19,49,53,43,0,49,0,43,63,0,50,84,0,0,0,100,0,31,0,0,0,28,23,0,46,0,0,45,60,0,0,18,91,35,0,27,59,39,0,13,38,44,0,48,41,45,39,0,27,0,79,28,0,0,7,1,0,35,0,56,1,58,60,0,100,24,62,0,0,54,0,52,84,38,75,65,46,0,32,21,0,0,0,91,12,0,0,54,0,100,0,71,0,30,0,0,45,22,0,84,47,46,21,44,0,19,0,44,66,0,41,29,0,19,0,0,51,41,26,0,0,0,0,8,6,0,0,60,50,0,15,42,0,0,0,76,0,1,0,84,11,1,40,0,45,0,0,0,69,35,53,57,0,37,0,21,67,0,48,99,58,0,76,45,60,97,0,81,39,33,88,0,0,0,0,58,37,21,0,38,0,42,43,75,0,64,0,41,0,26,19,43,0,46,0,0,29,75,0,37,59,0,0,0,0,0,35,70,35,0,8,0,78,50,70,0,33,26,0,0,63,0,0,0,0,71
